Potencial do Jogador,Idade,Posicao,Gols,Assistencias,Chutes ao Gol,Precisao de Passe,Desarmes,Interceptacoes,Faltas,Cartoes Amarelos,Cartoes Vermelhos,Historico de Lesoes,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Pe Dominante
98,25,Midfielder,4,1,14,82.0,1,3,1,0,0,Medium,174,56,Braga,Direito
99,16,Defender,1,5,6,75.3,1,2,1,0,0,None,159,82,Lisboa,Direito
64,20,Defender,6,4,7,93.5,2,1,1,0,0,High,152,62,Faro,Esquerdo
61,33,Defender,3,3,4,88.5,3,2,2,0,0,Medium,166,50,Lisboa,Ambidestro
50,32,Goalkeeper,7,2,11,70.8,1,0,0,0,0,None,159,60,Coimbra,Ambidestro
95,19,Goalkeeper,5,1,12,96.9,2,1,0,0,0,Low,176,74,Braga,Esquerdo
54,26,Forward,6,2,18,89.2,1,1,0,0,0,Low,184,68,Faro,Ambidestro
85,17,Goalkeeper,3,4,13,95.2,1,3,1,0,0,High,183,94,Coimbra,Direito
74,20,Defender,5,4,12,77.4,5,4,2,0,0,None,193,62,Lisboa,Direito
85,20,Defender,2,5,11,90.0,1,1,1,0,0,Low,165,83,Lisboa,Direito
56,32,Forward,4,3,11,77.0,1,1,0,0,1,Low,175,97,Coimbra,Esquerdo
61,32,Defender,4,2,6,86.6,2,3,1,0,0,High,168,95,Lisboa,Direito
95,31,Goalkeeper,3,2,12,87.4,2,1,1,0,0,Low,167,76,Faro,Direito
61,26,Defender,7,2,10,87.8,0,2,1,0,0,None,191,61,Coimbra,Ambidestro
90,29,Forward,6,5,5,79.2,3,0,0,0,0,Medium,197,58,Faro,Direito
65,24,Forward,4,5,8,73.2,1,2,3,0,0,High,164,78,Lisboa,Direito
87,27,Forward,6,2,6,80.8,0,1,2,1,0,High,176,55,Lisboa,Esquerdo
73,22,Midfielder,5,4,8,88.4,3,2,0,0,0,None,159,71,Porto,Esquerdo
60,25,Goalkeeper,3,1,10,82.9,2,2,1,0,0,None,172,94,Braga,Esquerdo
95,31,Forward,7,2,15,88.1,0,0,0,0,0,Medium,160,92,Coimbra,Direito
76,19,Midfielder,3,2,12,99.1,0,0,1,0,0,High,172,67,Braga,Ambidestro
88,28,Goalkeeper,2,3,8,83.8,0,4,0,0,0,High,205,74,Braga,Ambidestro
80,34,Midfielder,6,4,11,81.8,3,2,2,0,1,High,151,97,Lisboa,Direito
73,33,Goalkeeper,7,4,16,88.1,1,1,0,0,0,Medium,153,72,Lisboa,Esquerdo
61,26,Goalkeeper,8,5,10,78.2,0,2,3,0,0,Low,163,65,Porto,Esquerdo
91,18,Goalkeeper,5,2,9,94.2,1,4,0,0,0,None,189,65,Braga,Ambidestro
73,17,Forward,4,5,10,76.2,0,2,3,0,0,Low,175,68,Faro,Esquerdo
83,27,Goalkeeper,4,2,12,93.4,0,4,0,0,0,High,179,89,Faro,Direito
93,19,Midfielder,5,0,16,99.8,2,2,0,0,0,None,168,79,Coimbra,Ambidestro
87,28,Defender,5,2,7,77.1,1,1,3,0,0,Low,194,71,Faro,Ambidestro
60,20,Defender,4,7,11,75.7,1,3,0,1,0,Low,175,57,Lisboa,Direito
99,17,Goalkeeper,6,2,10,83.5,1,4,0,1,0,Low,197,87,Porto,Direito
80,33,Forward,9,2,9,75.9,0,4,0,0,0,Low,185,86,Lisboa,Direito
99,16,Goalkeeper,1,1,10,93.1,1,2,3,1,0,High,151,91,Porto,Esquerdo
90,23,Midfielder,5,2,12,87.4,1,2,1,0,0,Medium,184,50,Porto,Ambidestro
62,20,Defender,6,3,9,70.2,1,2,2,0,0,Medium,201,57,Faro,Esquerdo
76,19,Midfielder,8,4,10,76.2,4,2,1,0,1,High,196,53,Porto,Esquerdo
77,21,Midfielder,3,5,6,93.7,4,1,0,0,0,None,187,65,Coimbra,Esquerdo
54,22,Defender,3,0,5,75.2,0,0,0,1,0,Medium,166,60,Porto,Ambidestro
84,19,Forward,1,1,11,86.5,3,3,1,0,0,High,190,79,Lisboa,Ambidestro
91,18,Midfielder,9,5,16,90.9,2,1,1,0,0,High,184,82,Lisboa,Esquerdo
51,24,Defender,5,3,11,81.0,1,2,2,0,1,Low,175,69,Braga,Direito
85,17,Forward,7,2,13,93.4,2,0,0,0,0,None,192,52,Lisboa,Ambidestro
68,20,Midfielder,9,5,4,88.6,1,1,0,0,0,Low,160,60,Porto,Esquerdo
82,16,Midfielder,6,2,11,71.6,4,0,0,0,0,Low,158,67,Braga,Esquerdo
70,29,Midfielder,3,2,16,75.5,1,4,3,0,0,Low,163,72,Lisboa,Direito
89,25,Midfielder,4,0,9,87.7,3,2,0,0,0,High,158,87,Lisboa,Esquerdo
91,21,Goalkeeper,7,2,7,70.6,1,2,2,0,0,Medium,166,54,Faro,Direito
58,17,Forward,4,3,8,70.7,1,0,1,0,0,Low,151,63,Braga,Ambidestro
69,23,Midfielder,4,0,5,87.4,0,2,0,0,0,Low,209,60,Lisboa,Esquerdo
91,24,Defender,7,2,10,92.7,4,0,2,0,0,Low,209,89,Coimbra,Direito
71,23,Goalkeeper,6,1,9,83.5,5,6,2,0,0,None,183,73,Faro,Ambidestro
67,19,Defender,4,1,9,74.3,0,3,0,0,0,None,161,81,Porto,Ambidestro
99,28,Defender,6,4,9,90.8,0,2,0,0,0,None,190,76,Coimbra,Esquerdo
83,19,Forward,6,3,10,90.4,3,2,0,1,0,None,194,50,Porto,Esquerdo
78,22,Defender,2,1,10,76.0,0,3,1,0,0,Medium,196,61,Coimbra,Direito
74,23,Goalkeeper,4,7,6,77.8,0,1,1,0,0,High,182,61,Lisboa,Esquerdo
57,16,Midfielder,14,3,13,79.7,0,0,1,0,0,None,173,80,Lisboa,Direito
50,21,Midfielder,10,4,18,74.1,1,0,0,0,0,None,190,84,Braga,Ambidestro
100,27,Defender,5,4,12,97.0,2,3,2,0,0,Low,196,56,Lisboa,Esquerdo
55,25,Forward,6,4,10,72.4,1,5,3,0,0,Low,162,95,Faro,Direito
58,23,Forward,4,5,4,92.0,3,3,0,0,0,High,161,63,Lisboa,Esquerdo
65,21,Midfielder,2,5,9,71.6,0,6,1,0,0,Medium,153,91,Faro,Direito
68,24,Midfielder,9,3,14,74.7,1,2,1,0,0,Low,154,59,Lisboa,Ambidestro
79,27,Defender,2,4,8,83.4,2,2,2,0,0,Medium,191,56,Coimbra,Direito
57,30,Forward,7,3,7,70.2,1,1,1,1,0,Low,190,97,Coimbra,Ambidestro
80,16,Defender,9,2,20,75.3,3,2,1,0,0,Medium,203,54,Coimbra,Direito
93,24,Midfielder,6,5,2,86.5,6,5,0,1,0,None,165,54,Braga,Ambidestro
63,22,Midfielder,13,3,13,91.5,1,2,2,1,0,None,175,63,Faro,Ambidestro
71,26,Defender,3,1,7,92.9,2,3,1,0,0,Low,172,59,Braga,Direito
89,18,Forward,2,7,13,84.0,1,1,1,0,1,Medium,188,54,Porto,Esquerdo
78,16,Midfielder,8,3,8,87.7,4,2,0,0,0,None,208,84,Faro,Esquerdo
64,30,Midfielder,4,6,6,81.9,1,3,1,0,0,Medium,161,65,Faro,Direito
51,16,Forward,10,1,12,91.6,1,3,2,0,0,Medium,173,66,Coimbra,Esquerdo
87,22,Midfielder,12,3,10,83.6,2,5,0,0,0,High,158,58,Coimbra,Ambidestro
90,17,Forward,4,1,8,81.4,0,3,0,0,0,None,157,55,Coimbra,Esquerdo
95,28,Forward,3,4,15,91.5,3,3,0,0,0,Low,154,51,Lisboa,Esquerdo
78,34,Midfielder,7,4,13,96.1,3,1,3,0,0,None,204,63,Coimbra,Esquerdo
99,29,Defender,6,0,14,77.5,1,0,1,0,0,Medium,165,74,Coimbra,Ambidestro
89,25,Midfielder,8,1,11,96.3,1,0,1,0,0,None,150,58,Porto,Ambidestro
76,20,Midfielder,3,4,12,90.8,2,1,0,1,0,None,161,54,Faro,Ambidestro
87,33,Midfielder,0,4,9,97.9,3,5,2,0,0,High,173,65,Coimbra,Esquerdo
73,19,Goalkeeper,5,1,10,89.7,3,2,1,1,0,Medium,180,60,Coimbra,Esquerdo
58,18,Midfielder,1,3,9,79.5,2,2,0,0,0,Medium,200,51,Faro,Esquerdo
85,29,Defender,3,0,13,96.6,2,2,1,0,0,High,191,79,Porto,Esquerdo
66,31,Defender,5,0,10,84.9,1,3,0,0,0,Low,193,65,Lisboa,Direito
55,20,Defender,8,2,12,77.4,2,2,0,0,0,Low,199,70,Braga,Esquerdo
58,25,Forward,3,2,14,98.5,3,0,1,0,0,Low,195,89,Porto,Direito
67,20,Goalkeeper,5,1,10,87.0,3,1,3,0,0,None,174,72,Faro,Esquerdo
69,33,Goalkeeper,4,1,9,88.5,1,2,3,1,0,Medium,182,95,Porto,Ambidestro
66,34,Defender,6,2,8,91.6,3,0,0,1,0,None,172,91,Coimbra,Direito
67,29,Goalkeeper,6,4,8,78.9,3,1,0,0,0,Low,151,90,Faro,Ambidestro
83,29,Forward,3,1,10,73.6,0,2,1,0,0,None,152,74,Braga,Esquerdo
92,18,Midfielder,2,6,6,94.2,2,2,2,0,0,None,153,68,Lisboa,Direito
97,19,Defender,2,2,9,83.0,3,0,0,0,0,None,187,79,Porto,Ambidestro
68,25,Goalkeeper,9,5,11,75.4,3,1,0,0,0,Medium,175,51,Coimbra,Direito
95,28,Defender,5,2,13,80.3,2,0,0,1,0,Low,158,52,Lisboa,Direito
78,31,Defender,7,3,9,90.7,3,0,1,0,0,High,192,69,Braga,Direito
94,18,Defender,8,1,18,90.1,4,3,0,1,0,High,188,77,Faro,Direito
85,22,Defender,4,2,9,76.6,3,4,2,0,0,High,167,67,Lisboa,Ambidestro
60,30,Midfielder,4,3,9,79.4,2,1,0,0,0,Medium,201,89,Braga,Ambidestro
61,32,Defender,6,1,12,95.1,4,1,0,0,1,Medium,200,75,Braga,Esquerdo
96,31,Goalkeeper,4,1,7,82.6,2,3,0,1,0,Medium,164,99,Lisboa,Direito
92,24,Goalkeeper,2,1,12,81.2,2,2,0,0,0,High,169,60,Porto,Esquerdo
89,16,Forward,9,4,11,93.7,1,1,2,1,0,High,183,95,Coimbra,Direito
76,26,Forward,10,3,11,84.1,1,1,1,1,0,Low,159,52,Faro,Esquerdo
83,27,Goalkeeper,8,2,5,94.0,0,3,3,0,0,Medium,153,56,Braga,Esquerdo
82,29,Defender,2,0,6,99.5,2,2,2,1,0,Low,168,88,Lisboa,Direito
89,23,Goalkeeper,7,4,9,96.8,1,3,0,0,0,High,156,98,Coimbra,Esquerdo
71,22,Forward,4,3,11,70.1,3,2,1,0,0,None,162,64,Lisboa,Esquerdo
55,29,Defender,6,5,13,92.8,2,3,2,1,0,High,182,58,Porto,Direito
87,31,Goalkeeper,11,3,13,95.7,2,3,1,1,0,High,168,97,Braga,Direito
86,25,Midfielder,12,3,6,78.7,1,3,1,0,0,None,205,97,Braga,Direito
70,22,Goalkeeper,4,4,8,83.4,1,0,2,1,0,Medium,168,99,Porto,Direito
68,27,Forward,3,5,4,86.6,4,2,1,0,0,High,207,65,Porto,Ambidestro
69,34,Goalkeeper,5,1,12,96.8,3,1,0,0,0,None,179,90,Coimbra,Esquerdo
94,23,Defender,2,2,5,89.0,2,3,1,1,0,High,151,74,Coimbra,Ambidestro
77,17,Goalkeeper,6,2,11,88.4,2,1,0,0,0,Medium,151,89,Lisboa,Esquerdo
63,25,Forward,0,4,7,75.7,3,2,2,1,0,Low,172,77,Braga,Direito
85,18,Goalkeeper,4,4,8,88.5,3,2,0,0,0,High,161,72,Lisboa,Esquerdo
76,34,Defender,7,3,6,82.0,2,2,0,0,0,Low,153,50,Braga,Direito
91,30,Goalkeeper,8,2,7,95.0,1,0,2,1,0,None,195,72,Lisboa,Ambidestro
51,21,Forward,5,2,14,76.0,0,2,3,0,1,Low,204,83,Porto,Direito
68,20,Midfielder,2,4,4,82.5,1,3,1,0,0,Medium,198,62,Faro,Ambidestro
98,34,Goalkeeper,5,0,12,72.9,1,3,1,0,0,High,151,55,Porto,Ambidestro
56,30,Goalkeeper,3,3,12,79.3,4,2,1,1,0,High,195,73,Porto,Ambidestro
92,34,Forward,5,4,16,92.0,1,3,1,0,1,Low,165,84,Braga,Ambidestro
78,17,Forward,8,2,7,84.2,0,0,1,0,0,High,189,79,Lisboa,Direito
78,28,Goalkeeper,3,3,11,81.4,3,3,1,0,0,Medium,163,69,Braga,Direito
73,16,Forward,2,5,12,83.0,0,4,0,0,0,None,171,96,Braga,Ambidestro
96,25,Forward,6,4,9,71.4,1,3,1,0,0,High,169,91,Braga,Ambidestro
64,32,Defender,5,3,8,94.2,6,0,1,0,0,None,171,65,Faro,Ambidestro
90,18,Goalkeeper,4,4,9,72.7,3,3,1,0,0,Low,206,73,Porto,Ambidestro
95,24,Goalkeeper,5,4,7,99.8,1,2,1,1,0,Low,170,58,Porto,Ambidestro
84,26,Midfielder,3,2,8,86.7,0,1,0,1,0,Low,191,96,Braga,Esquerdo
83,32,Midfielder,4,0,12,96.1,0,3,1,0,0,High,201,66,Faro,Ambidestro
66,17,Forward,6,4,18,70.8,2,0,1,0,0,High,160,97,Faro,Esquerdo
93,16,Forward,9,1,8,88.9,2,2,1,1,0,Low,155,72,Faro,Ambidestro
99,21,Goalkeeper,2,1,12,73.4,3,2,3,0,0,Low,194,63,Coimbra,Direito
63,18,Midfielder,5,0,11,97.6,1,3,0,1,0,High,185,66,Lisboa,Direito
81,31,Goalkeeper,6,6,11,81.1,1,0,3,0,0,High,208,85,Lisboa,Direito
53,19,Goalkeeper,5,4,10,78.6,3,3,0,0,0,High,156,79,Porto,Ambidestro
78,30,Goalkeeper,3,3,12,74.1,2,1,0,0,0,High,175,62,Lisboa,Direito
76,21,Midfielder,2,5,9,73.4,2,1,0,0,0,None,184,77,Braga,Direito
54,27,Goalkeeper,2,4,7,95.2,2,5,2,0,0,Medium,152,91,Braga,Ambidestro
68,22,Midfielder,8,4,6,75.0,5,2,0,0,0,Medium,173,64,Braga,Ambidestro
77,22,Midfielder,4,2,8,81.8,1,0,0,1,0,Medium,171,92,Coimbra,Direito
70,22,Forward,5,3,5,98.9,3,2,0,0,0,High,186,94,Faro,Esquerdo
67,18,Goalkeeper,7,2,11,80.5,3,2,2,1,0,High,180,70,Lisboa,Ambidestro
96,22,Midfielder,8,1,8,76.8,1,1,3,0,0,Medium,152,86,Lisboa,Esquerdo
65,21,Forward,8,3,7,87.5,2,4,2,0,0,None,199,88,Faro,Direito
98,21,Forward,2,4,11,84.7,4,1,0,1,0,Medium,176,69,Lisboa,Direito
55,29,Midfielder,11,1,15,79.5,3,5,0,0,0,None,156,61,Braga,Ambidestro
72,25,Defender,4,1,8,96.3,1,2,1,0,0,High,193,96,Lisboa,Esquerdo
75,20,Forward,7,6,10,83.9,8,1,0,0,0,Low,174,93,Porto,Direito
68,29,Midfielder,3,3,13,92.1,2,1,1,1,0,High,175,98,Lisboa,Esquerdo
60,33,Forward,2,5,7,82.0,1,2,2,0,0,High,151,85,Porto,Esquerdo
86,19,Defender,4,6,11,81.2,1,1,2,0,0,None,189,76,Coimbra,Ambidestro
71,29,Goalkeeper,3,3,13,83.7,2,4,1,0,0,None,186,74,Coimbra,Ambidestro
77,24,Midfielder,5,3,13,80.9,2,3,0,0,0,Medium,181,90,Porto,Ambidestro
55,29,Goalkeeper,6,3,11,76.9,2,2,0,0,0,Medium,197,86,Porto,Direito
73,21,Forward,6,6,13,75.8,7,0,3,0,0,None,167,54,Faro,Direito
67,32,Defender,6,3,12,91.9,0,1,1,0,0,High,170,63,Coimbra,Esquerdo
88,30,Defender,7,1,12,72.7,0,2,0,0,0,None,197,68,Porto,Ambidestro
86,21,Forward,3,4,15,89.7,4,1,1,0,0,Low,183,50,Braga,Ambidestro
55,17,Midfielder,7,3,11,72.3,3,0,0,0,0,High,152,79,Lisboa,Esquerdo
61,21,Midfielder,2,6,8,97.2,2,3,1,0,0,Medium,171,69,Braga,Esquerdo
61,22,Forward,0,2,9,76.6,4,7,0,0,0,Low,201,52,Coimbra,Esquerdo
88,28,Defender,6,1,13,86.6,0,2,2,0,0,None,170,66,Coimbra,Esquerdo
52,26,Goalkeeper,8,2,9,85.0,2,2,0,0,0,High,191,90,Coimbra,Direito
53,30,Defender,3,1,12,85.3,2,1,2,0,0,Low,201,79,Braga,Esquerdo
96,24,Defender,8,4,11,73.8,1,5,0,0,0,None,197,60,Coimbra,Esquerdo
66,23,Defender,4,2,19,74.9,1,1,0,0,0,Low,152,97,Porto,Ambidestro
74,29,Forward,6,7,15,77.6,0,1,0,0,0,Low,185,52,Lisboa,Direito
79,21,Goalkeeper,3,3,12,84.8,4,1,0,0,0,High,166,89,Porto,Esquerdo
52,31,Defender,9,3,15,82.1,2,3,0,1,0,None,209,83,Porto,Ambidestro
70,26,Forward,3,2,15,85.5,1,3,0,0,0,High,204,84,Porto,Esquerdo
96,19,Midfielder,6,9,13,99.2,3,4,2,0,0,Low,201,67,Lisboa,Ambidestro
76,26,Midfielder,4,2,11,70.2,4,3,2,0,0,Low,156,58,Lisboa,Ambidestro
51,34,Defender,6,3,10,90.5,4,3,0,0,0,None,203,92,Porto,Ambidestro
87,19,Defender,6,4,7,92.5,4,1,0,1,0,High,179,71,Braga,Direito
56,30,Goalkeeper,7,7,7,86.0,1,1,0,0,0,Low,165,73,Faro,Ambidestro
55,34,Defender,9,2,12,74.8,2,2,1,0,0,Low,177,79,Braga,Direito
63,21,Midfielder,7,4,10,79.6,5,2,2,0,0,High,168,78,Faro,Direito
95,20,Forward,3,1,12,97.6,4,3,1,0,1,None,176,64,Lisboa,Ambidestro
95,33,Forward,5,2,8,80.5,2,3,0,0,0,Low,175,53,Faro,Esquerdo
63,21,Goalkeeper,3,2,10,91.6,1,1,2,0,0,None,153,77,Faro,Esquerdo
95,19,Forward,6,2,14,80.5,1,3,0,0,0,Low,171,55,Braga,Ambidestro
62,21,Goalkeeper,4,2,6,82.6,0,4,1,0,0,None,175,82,Coimbra,Esquerdo
71,24,Defender,5,1,12,99.6,3,4,3,0,0,Low,174,57,Braga,Esquerdo
83,20,Forward,11,1,12,89.3,0,1,0,0,0,High,200,53,Porto,Ambidestro
75,33,Goalkeeper,8,4,7,92.4,1,1,2,0,0,None,150,84,Lisboa,Esquerdo
65,17,Goalkeeper,2,3,10,98.0,3,2,3,0,0,Low,203,86,Coimbra,Esquerdo
94,34,Defender,4,1,12,95.2,3,1,2,0,0,Medium,156,82,Lisboa,Direito
88,17,Midfielder,4,2,10,78.6,2,1,1,0,0,Low,175,81,Braga,Direito
68,30,Forward,8,6,13,84.4,0,2,1,0,0,None,153,65,Coimbra,Direito
89,33,Defender,9,3,7,95.0,2,3,1,0,0,Medium,173,66,Braga,Ambidestro
68,23,Forward,10,3,15,74.5,2,1,2,0,0,None,184,99,Braga,Esquerdo
85,27,Midfielder,3,1,11,72.3,5,0,1,1,0,Low,169,99,Braga,Ambidestro
98,30,Forward,3,3,13,72.6,2,3,5,1,0,Low,176,93,Coimbra,Esquerdo
54,32,Goalkeeper,5,3,10,75.2,2,1,0,0,0,None,193,52,Coimbra,Ambidestro
83,17,Forward,11,2,10,88.1,1,1,1,0,0,None,154,61,Coimbra,Ambidestro
80,33,Goalkeeper,4,1,10,97.6,1,1,0,0,1,Medium,178,74,Porto,Direito
61,28,Midfielder,2,1,6,73.4,6,0,2,0,0,Medium,175,90,Faro,Ambidestro
84,30,Goalkeeper,7,3,10,71.8,0,3,1,0,0,Low,173,86,Braga,Direito
73,16,Defender,3,5,6,83.2,3,3,0,0,0,Low,166,97,Coimbra,Esquerdo
72,18,Goalkeeper,4,3,10,95.7,4,2,0,0,0,High,202,94,Lisboa,Direito
88,30,Goalkeeper,9,2,17,71.1,2,2,1,0,0,High,202,67,Faro,Direito
99,34,Defender,8,0,18,78.0,1,3,1,0,0,Low,187,79,Lisboa,Ambidestro
66,27,Goalkeeper,6,5,7,85.5,3,0,1,1,0,Medium,181,95,Braga,Ambidestro
78,25,Goalkeeper,10,5,15,91.8,3,0,2,0,0,Medium,195,83,Faro,Direito
97,30,Defender,3,3,11,96.0,2,2,0,0,0,Medium,192,63,Lisboa,Direito
78,16,Goalkeeper,4,0,9,96.5,2,2,2,0,0,High,154,71,Coimbra,Ambidestro
80,28,Goalkeeper,5,6,11,92.0,0,0,1,0,0,Medium,154,86,Braga,Direito
52,25,Forward,6,4,16,81.2,2,2,1,0,0,Medium,151,84,Braga,Direito
72,34,Forward,3,1,10,92.3,2,4,0,0,0,High,184,87,Faro,Esquerdo
86,20,Goalkeeper,4,3,11,94.7,2,3,1,0,1,None,166,99,Coimbra,Esquerdo
88,23,Defender,6,6,5,81.2,2,3,1,0,0,High,197,59,Porto,Direito
93,19,Defender,4,2,8,79.8,2,2,0,0,0,Low,153,89,Coimbra,Ambidestro
67,32,Forward,3,1,11,83.7,2,3,1,0,0,High,168,63,Faro,Esquerdo
67,28,Defender,2,1,8,73.8,3,1,0,0,0,None,197,98,Porto,Ambidestro
61,21,Defender,5,0,11,83.7,0,0,2,0,0,None,205,68,Coimbra,Direito
75,29,Forward,3,7,6,95.8,0,1,1,0,0,Low,204,86,Coimbra,Esquerdo
63,32,Midfielder,8,3,12,94.5,0,4,1,1,0,Low,170,66,Lisboa,Esquerdo
87,29,Forward,5,2,6,72.8,1,3,1,0,0,Medium,164,92,Coimbra,Esquerdo
66,34,Defender,5,3,13,70.4,1,1,1,0,0,High,209,76,Lisboa,Direito
82,33,Goalkeeper,6,7,17,82.9,0,0,0,0,0,None,186,57,Braga,Ambidestro
77,23,Defender,4,5,8,80.3,1,0,1,1,0,Medium,204,83,Faro,Esquerdo
55,33,Goalkeeper,5,2,5,87.6,1,2,0,0,0,Low,194,52,Lisboa,Esquerdo
98,30,Goalkeeper,9,1,8,89.2,1,2,0,0,0,Low,174,83,Coimbra,Esquerdo
61,19,Goalkeeper,11,2,12,90.3,4,1,0,0,0,None,166,71,Coimbra,Ambidestro
50,26,Midfielder,6,2,12,91.7,4,2,0,0,0,Low,151,70,Faro,Esquerdo
72,26,Midfielder,5,2,8,98.0,2,0,2,0,0,Medium,150,72,Lisboa,Esquerdo
84,17,Forward,6,2,9,93.6,2,3,1,0,1,None,167,62,Coimbra,Direito
74,32,Midfielder,5,3,13,74.4,3,1,4,0,0,High,199,96,Braga,Esquerdo
69,26,Goalkeeper,3,3,11,71.8,4,0,2,1,0,None,151,95,Porto,Esquerdo
86,34,Defender,4,3,7,70.2,4,2,0,0,0,Medium,165,84,Coimbra,Ambidestro
73,32,Defender,5,0,8,93.1,2,1,1,1,0,None,193,80,Porto,Esquerdo
88,18,Goalkeeper,2,2,8,70.1,0,3,3,0,0,Low,205,66,Coimbra,Esquerdo
51,22,Defender,3,1,9,76.5,1,5,0,0,0,None,150,98,Porto,Ambidestro
72,25,Defender,7,3,7,79.4,1,3,1,0,0,Medium,195,67,Coimbra,Ambidestro
83,18,Midfielder,4,1,9,89.6,3,0,1,0,0,Medium,188,98,Lisboa,Ambidestro
85,28,Goalkeeper,4,5,15,77.2,3,2,0,0,0,None,194,64,Braga,Ambidestro
87,25,Defender,2,1,11,78.4,2,2,0,0,1,Low,188,86,Porto,Esquerdo
73,20,Defender,5,2,6,70.1,0,1,0,0,0,None,190,93,Porto,Esquerdo
84,20,Defender,6,1,9,83.1,1,1,1,0,0,High,180,72,Braga,Ambidestro
67,25,Goalkeeper,3,5,8,72.4,2,2,1,0,0,Low,150,55,Faro,Direito
95,26,Goalkeeper,8,5,13,81.0,0,3,0,0,0,Medium,161,65,Lisboa,Esquerdo
60,28,Forward,4,1,14,94.7,3,2,1,0,0,None,182,88,Faro,Direito
84,24,Forward,3,4,8,73.3,1,0,1,1,0,None,150,57,Braga,Direito
81,17,Defender,4,6,10,71.8,5,1,0,0,0,None,184,81,Lisboa,Esquerdo
73,21,Midfielder,9,2,13,81.0,3,2,1,0,0,None,167,71,Coimbra,Esquerdo
82,23,Midfielder,3,4,10,74.6,3,2,0,0,0,High,174,76,Porto,Esquerdo
82,16,Goalkeeper,8,3,15,71.3,0,1,0,0,0,None,152,60,Faro,Ambidestro
58,17,Goalkeeper,4,3,8,87.9,2,2,3,0,0,High,183,75,Faro,Ambidestro
53,19,Forward,8,3,8,93.0,2,0,1,1,0,High,165,75,Lisboa,Direito
52,34,Forward,7,2,6,80.9,1,2,1,0,0,High,178,58,Lisboa,Ambidestro
64,34,Goalkeeper,6,3,8,81.9,0,3,1,0,0,High,174,90,Lisboa,Esquerdo
72,24,Midfielder,5,4,14,91.7,2,1,0,0,0,Medium,173,62,Lisboa,Esquerdo
63,34,Forward,6,3,9,89.0,1,1,0,0,1,High,171,60,Braga,Ambidestro
57,23,Forward,7,1,10,86.3,2,0,1,0,0,Low,193,86,Braga,Ambidestro
93,26,Defender,2,1,15,98.5,4,6,0,0,0,Medium,169,68,Lisboa,Direito
91,34,Midfielder,4,4,11,84.1,1,1,1,0,0,Low,204,70,Faro,Esquerdo
99,19,Defender,4,5,7,71.1,2,4,0,1,0,High,157,77,Braga,Ambidestro
63,28,Forward,4,3,10,87.3,1,1,2,0,0,None,164,77,Porto,Ambidestro
53,29,Forward,4,1,10,89.2,2,3,3,0,0,Low,165,68,Lisboa,Esquerdo
68,16,Forward,4,5,12,70.0,2,0,1,1,0,Medium,181,92,Faro,Ambidestro
54,26,Forward,5,6,8,89.7,4,0,0,0,0,None,197,85,Faro,Esquerdo
55,19,Goalkeeper,1,2,11,98.4,0,2,0,0,0,High,172,73,Coimbra,Direito
57,22,Midfielder,5,4,12,77.2,2,2,0,0,0,Low,157,95,Coimbra,Ambidestro
72,19,Midfielder,8,2,12,73.8,1,0,1,0,0,None,185,91,Coimbra,Esquerdo
99,22,Midfielder,6,5,8,76.8,1,1,0,1,1,None,201,53,Porto,Direito
63,18,Midfielder,4,3,16,99.5,3,5,0,0,0,None,188,55,Lisboa,Direito
76,34,Defender,4,1,10,72.1,3,0,0,1,0,Low,171,73,Faro,Direito
73,34,Defender,7,6,12,72.7,4,4,1,0,0,High,196,90,Lisboa,Esquerdo
69,22,Defender,8,1,14,88.5,1,3,2,0,0,High,157,58,Lisboa,Ambidestro
96,27,Forward,3,4,9,94.4,4,0,1,0,0,Low,198,61,Coimbra,Esquerdo
70,16,Goalkeeper,4,1,8,99.1,2,0,1,0,0,Medium,164,95,Lisboa,Ambidestro
97,20,Midfielder,1,2,12,96.2,2,1,0,0,0,Low,197,96,Coimbra,Ambidestro
72,29,Goalkeeper,4,4,7,74.8,0,1,0,1,0,Low,205,68,Faro,Direito
62,25,Midfielder,5,3,12,86.9,2,1,1,0,1,Low,189,59,Coimbra,Ambidestro
89,18,Midfielder,7,8,11,88.0,0,5,1,0,0,Medium,187,97,Porto,Ambidestro
81,17,Defender,4,2,9,73.4,4,0,1,1,0,None,174,98,Coimbra,Direito
73,28,Forward,6,2,11,86.7,2,1,1,0,0,Low,163,95,Faro,Direito
80,31,Forward,4,3,5,86.3,2,2,1,1,0,Medium,151,88,Coimbra,Esquerdo
56,17,Goalkeeper,4,2,10,88.5,2,0,0,1,0,Low,159,90,Braga,Esquerdo
85,28,Forward,3,4,12,92.6,0,2,1,0,0,High,200,83,Coimbra,Direito
94,21,Defender,6,0,12,98.6,4,1,4,1,0,Medium,168,80,Faro,Direito
59,22,Midfielder,3,6,11,97.8,2,1,0,0,0,Low,194,94,Lisboa,Ambidestro
76,17,Goalkeeper,5,6,6,73.2,1,0,0,1,0,High,162,64,Lisboa,Direito
98,26,Defender,3,3,10,95.1,3,1,0,0,0,Low,176,74,Coimbra,Esquerdo
71,22,Midfielder,3,5,10,71.5,4,4,0,0,0,Medium,181,81,Coimbra,Direito
91,22,Forward,5,2,15,77.2,0,2,0,0,0,Low,204,66,Faro,Direito
