Diferenca de Golos da Equipa da Casa,Golos Marcados pela Equipa da Casa_5J,Golos Marcados pela Equipa Fora_5J,Golos Sofridos pela Equipa da Casa_5J,Golos Sofridos pela Equipa Fora_5J,Taxa de Vitorias da Equipa da Casa_10J,Taxa de Vitorias da Equipa Fora_10J,Posicao da Equipa da Casa na Liga,Posicao da Equipa Fora na Liga,Distancia Percorrida_Equipa Fora,Temperatura no Dia do Jogo,Numero de Espectadores,Golos da Equipa da Casa,Golos da Equipa Fora
0,1.743986341,1.126344082,1.056273391,0.839373524,0.099906751,0.329207828,11,1,815,23,14606,2,2
0,1.040174655,0.56749607,1.239023878,1.414297489,0.062049486,0.658967577,16,7,648,16,41047,1,1
0,2.821467861,1.814675864,1.716374351,1.647815571,0.387486764,0.561759797,7,19,122,11,8688,3,3
1,1.770061513,0.086858222,1.214196163,1.286635139,0.051840304,0.50220043,1,1,184,23,48348,1,0
0,2.645233535,1.60184089,1.10274135,0.724240196,0.916463054,0.003411977,13,15,969,21,29436,1,1
4,2.300133909,0.446045249,0.710402429,1.609208093,0.034155505,0.683714035,15,8,244,13,9709,4,0
0,1.40558261,1.048889246,1.077366086,1.486099655,0.749377143,0.305866087,6,4,986,26,34147,0,0
0,1.293864123,0.933039815,1.981451432,1.797914618,0.26134972,0.312209369,10,7,488,26,22829,0,0
1,1.298270408,1.198592609,0.746677419,1.463153154,0.739938756,0.063486105,5,20,919,13,46911,2,1
1,0.584985725,1.680207549,1.478667316,1.535564227,0.227249907,0.188568648,1,11,851,12,24578,1,0
-1,1.15208244,1.710380363,1.616191944,1.29324827,0.343757359,0.56391766,4,8,201,27,11160,1,2
1,1.623383012,0.311703736,1.146447638,1.048079024,0.497739056,0.557809168,1,10,698,18,33690,1,0
1,2.26297878,1.356286316,2.120592627,1.509386659,0.17932163,0.484392008,6,16,732,17,15630,2,1
0,1.113614059,0.940011877,1.732154777,1.131864392,0.18593719,0.481417884,7,3,749,17,39602,0,0
1,1.9410283,0.848239495,1.187739379,1.454179906,0.782535458,0.269736374,18,3,818,17,13692,2,1
-4,0.873703329,0.420297038,2.014852962,1.269984104,0.366035174,0.00984257,1,3,380,13,40030,0,4
2,1.206839987,0.714405394,1.983581313,0.786253747,0.233740068,0.796711731,20,10,298,24,8839,2,0
0,1.271179703,0.795251238,1.414406312,1.747054276,0.199287195,0.850738875,10,12,136,29,27339,0,0
-1,1.685905541,1.050369909,0.252586587,0.635010446,0.538956428,0.671085893,3,5,214,18,44159,0,1
0,1.728654823,1.251903174,1.75609996,1.647596541,0.175370753,0.773043601,7,10,576,10,23525,2,2
0,1.981170872,1.444970387,1.358010844,1.439412627,0.455235976,0.069851169,9,2,985,17,49771,1,1
3,1.88541848,0.956692705,1.287137135,2.065012063,0.138745382,0.105865431,15,20,800,23,26566,3,0
1,1.621584108,0.986452183,1.425491834,0.91367644,0.330757785,0.695290234,7,18,639,20,43557,1,0
0,1.695182472,1.139798905,1.219994952,2.27238175,0.258991506,0.097714881,12,19,111,28,3037,0,0
-1,2.294265346,1.200019026,0.998263358,1.756867909,0.200210557,0.155964249,1,1,236,17,46587,1,2
0,1.244536909,0.8446852,1.230750576,1.630508362,0.237653021,0.176693736,6,10,966,29,39629,0,0
0,1.88736416,0.62144169,1.258033969,1.220026739,0.373111835,0.121126268,13,13,73,15,5120,0,0
-2,0.595928037,1.829227055,0.952709199,1.323861032,0.669889209,0.8898814,4,13,804,26,23270,0,2
0,1.705667121,0.745085356,2.271304689,2.252605029,0.729227531,0.82308301,13,2,921,22,2839,0,0
0,1.258375229,1.430305091,1.322627718,2.173227161,0.550695447,0.042747645,9,6,959,19,38274,0,0
0,1.501285591,0.75162512,1.463336128,1.304000734,0.295577054,0.067377027,12,2,331,22,49760,1,1
3,2.020043123,0.825614616,1.928777495,1.257860029,0.699987221,0.318990304,14,20,418,17,23188,3,0
0,1.582321905,1.766514275,1.854660294,1.715406528,0.529976953,0.381989805,7,14,905,17,20948,1,1
0,1.942593771,1.075615677,1.728680145,2.400342169,0.362657573,0.239131585,15,1,451,18,20198,0,0
2,2.236882408,1.224284481,0.680502656,1.642952918,0.150330734,0.461124216,14,15,742,17,24834,3,1
-2,1.694546984,1.695420972,0.25583062,1.841466017,0.850310982,0.36585189,19,18,105,19,8679,0,2
3,2.085520532,2.059713763,2.361372294,1.317138328,0.121931005,0.576103601,20,5,391,10,4172,3,0
1,1.336719511,1.769432639,1.875822176,0.784860207,0.564975717,0.178607049,8,4,98,18,21657,1,0
-1,1.495895059,1.402518725,1.433767161,1.121396319,0.536849832,0.119244857,1,14,997,25,21330,1,2
-2,1.238690292,1.559882807,1.131538705,0.97855144,0.836817442,0.066934116,15,19,457,27,12096,0,2
2,2.021488797,1.195227314,1.062219402,1.376701167,0.618931624,0.352373837,13,7,272,16,45384,2,0
0,1.707045677,0.307454849,0.705284865,1.294151211,0.939810585,0.31397215,2,19,644,12,28160,1,1
1,1.246382769,1.340368099,1.156304289,1.333329435,0.775360053,0.081897513,15,10,997,21,4318,2,1
-2,1.577334417,1.355672831,1.226110015,0.739477963,0.681772237,0.971558563,4,4,899,22,15693,1,3
1,2.020784194,0.99256097,1.206737751,1.099651003,0.263027459,0.935829662,16,3,479,28,10731,2,1
1,1.480366004,0.942776265,1.780714916,1.193691034,0.496374461,0.626631251,15,4,578,24,39260,1,0
0,1.025533595,2.368524864,1.35610683,1.437722158,0.588915648,0.858565174,4,5,871,29,8056,0,0
0,1.565955878,0.749070074,1.224629944,1.754932466,0.094139434,0.072876659,14,19,86,16,30335,1,1
0,0.509717204,1.17836748,0.925199865,1.019982398,0.116987801,0.674878859,3,9,392,12,8030,1,1
-1,1.884385322,1.514710681,0.866841835,1.087290896,0.290131758,0.151215895,16,15,393,16,35879,0,1
-2,1.289336206,0.589250459,2.20520511,1.190010778,0.027083672,0.58466685,6,2,941,20,8439,0,2
0,1.265344632,1.025975975,1.38857996,1.358724364,0.672409864,0.376926796,12,18,431,23,43778,1,1
0,1.937847839,1.447065138,0.925460499,0.866669631,0.461727971,0.561781351,6,13,355,21,48535,2,2
0,0.817418561,0.778614568,1.318324885,2.223245504,0.892914947,0.38590369,5,3,127,17,48952,0,0
-2,2.473549321,0.653986502,2.349192794,0.839521525,0.306905631,0.638549559,16,7,279,22,10830,1,3
-2,1.259878979,1.766582491,0.785467399,1.004104305,0.167614111,0.577309673,2,15,641,28,4474,0,2
-3,1.238374528,1.472292498,1.008654955,1.456493294,0.953269026,0.827320385,15,9,360,11,25858,0,3
0,2.010612372,0.200567467,1.882900075,1.402996643,0.66832613,0.256159411,18,16,541,14,9701,3,3
-2,1.854347637,0.943168032,1.925330661,1.163845686,0.189402891,0.372609425,19,13,847,15,11394,1,3
3,2.72561486,1.983490408,1.208854985,1.260153857,0.021381119,0.815591389,6,1,578,16,16189,5,2
0,1.394397008,0.457355466,1.313237782,1.687909346,0.060399651,0.110527351,8,8,447,24,38600,2,2
-2,1.439796681,1.784875155,0.635261813,1.886827546,0.675440499,0.49109397,19,19,383,21,17638,1,3
-2,0.76034201,1.285701612,1.392881125,1.53947932,0.177045203,0.126217328,8,13,469,25,10628,0,2
-2,1.333948861,1.125099778,1.39300498,1.113492722,0.162683565,0.048600034,16,10,52,21,1140,0,2
0,1.139284352,0.341621658,1.640634382,1.158485294,0.700869743,0.836207933,14,1,618,21,5381,1,1
1,1.275616493,1.303873767,1.261732538,1.275546588,0.125297022,0.838475143,20,6,479,14,37925,1,0
-1,0.627906122,1.058226235,1.022434759,0.423715216,0.057453276,0.809701386,7,8,951,18,49002,0,1
-1,2.33030378,1.540508537,1.409166309,1.076235732,0.096045208,0.451442686,14,2,538,15,3878,0,1
1,0.791698259,1.289952718,1.819128119,1.268584414,0.602626034,0.837920428,7,10,126,28,40951,1,0
-1,0.098898601,1.038291257,0.923752551,1.013299412,0.123622715,0.403490606,19,5,60,24,19975,0,1
-2,0.905787789,1.814286474,0.686639659,1.819779263,0.613407007,0.432472492,13,2,208,10,16653,0,2
1,1.198080224,1.075258535,1.042254104,2.668809869,0.241255731,0.493737292,3,20,541,17,26443,1,0
3,0.925222968,1.447580668,0.802120582,1.231706588,0.739170202,0.041232973,16,3,275,14,13456,3,0
-2,2.04915177,1.841767184,0.884852142,1.692313257,0.559446092,0.727777289,20,18,820,28,40979,2,4
0,1.431080411,1.092346305,1.863653005,1.929912175,0.578365325,0.982915497,2,16,609,28,4853,0,0
0,1.512692802,0.417229107,0.903425898,0.818667402,0.824903423,0.200308785,7,2,521,20,23274,0,0
1,1.805195882,1.732125908,1.314539242,1.420273863,0.830697242,0.592886547,11,17,786,23,22661,1,0
5,1.643006263,0.976711292,0.362286905,0.930238234,0.161708782,0.558428181,13,15,845,23,45794,6,1
3,1.989283649,1.512901399,1.630560161,1.275734609,0.472354956,0.358124319,5,4,565,26,25990,3,0
1,0.945261223,0.974077295,1.67688181,1.427274431,0.68102357,0.801778528,7,17,422,21,30970,1,0
-1,1.22624095,0.852092902,2.025205499,0.907120432,0.403189998,0.960892091,19,10,679,23,11104,0,1
0,1.832983573,0.999526657,1.516425987,2.636022992,0.857380941,0.443820436,10,4,780,16,8772,0,0
1,0.232722769,0.828063449,1.229337929,2.424389088,0.0584372,0.514906904,2,16,609,11,43748,1,0
0,0.81240776,0.692446693,1.11356604,0.796689072,0.50278594,0.403060274,9,17,76,15,10168,0,0
-1,1.750496116,1.314223588,1.614789252,1.356072802,0.787655744,0.972039411,16,7,188,12,16142,1,2
-1,1.259875483,0.939996706,1.158686839,1.870687955,0.954725201,0.18157738,7,2,790,18,45300,0,1
-1,1.968053775,2.086935019,1.350874359,1.86618451,0.297291507,0.015142132,1,9,733,20,22935,0,1
1,1.904590148,0.709591286,1.35024452,0.37933809,0.911549487,0.510060993,3,16,215,19,43489,2,1
0,0.90095356,2.032952811,0.920030005,1.509235581,0.217771412,0.002472443,7,15,937,18,48022,0,0
3,1.703328544,0.5672172,1.879319475,0.446449547,0.087494917,0.762516212,16,8,185,15,34646,6,3
0,2.100848928,1.280971703,1.093782511,1.985039266,0.883905091,0.020423816,9,6,236,23,4193,1,1
-2,1.573717201,1.485721816,0.817905017,1.651323103,0.055323871,0.378261125,3,13,486,26,12458,1,3
0,1.011267561,1.610701197,1.798516981,2.303733035,0.991692704,0.147699357,16,13,471,19,41045,0,0
-3,1.939694971,0.842402787,1.623004154,0.632908886,0.520935763,0.957056059,7,1,57,11,24838,0,3
1,1.817712263,0.831590165,1.058382074,1.275087807,0.748218448,0.181156471,18,18,245,26,12456,3,2
0,1.771305392,0.923631552,0.957917497,1.15633198,0.176330234,0.45839046,14,11,669,29,18134,1,1
2,1.857969447,0.985935518,1.284845791,1.072434888,0.566814876,0.714506814,20,19,907,14,36318,3,1
-1,0.00269357,0.526471517,1.578339643,1.817242346,0.789324672,0.982433613,19,3,91,17,25967,1,2
2,1.940468781,1.315489815,1.928027271,1.580065702,0.822497706,0.785806914,13,14,517,12,34695,3,1
3,2.404065905,0.609767692,1.935975446,1.165770585,0.285571448,0.32120734,14,19,150,29,8738,3,0
0,1.718319237,1.101459397,1.286842201,2.042477118,0.856524504,0.083789743,2,19,244,22,27567,0,0
-2,1.596364498,0.857762502,1.303523065,2.514255236,0.923787012,0.329846173,14,20,309,12,34238,0,2
0,1.848219337,1.261123338,0.898793615,0.891912537,0.420736846,0.361626596,19,18,978,22,9772,3,3
-1,1.669112737,0.945114137,1.354430464,1.374596882,0.47389864,0.277122352,20,4,441,15,7295,0,1
-3,1.825890631,1.719415939,0.355534213,1.777263491,0.900527432,0.14735276,17,8,119,17,5100,0,3
-2,1.5007355,1.19835087,2.153783343,2.143341392,0.872214135,0.499051847,4,9,219,25,42544,1,3
-2,1.116647573,0.727228241,1.538183872,0.932743173,0.347458044,0.731277313,16,13,276,15,14315,0,2
-1,0.997838644,1.226066595,1.74618131,1.784604429,0.610333168,0.9618799,6,7,801,27,47050,0,1
0,1.000904136,1.670325426,1.220905787,0.235542066,0.941922952,0.035274212,18,15,340,20,19482,1,1
1,0.813478725,1.911202979,1.464757358,1.527429965,0.86400303,0.369820717,19,3,82,16,40419,2,1
0,0.966128994,1.552594826,0.999738134,1.525600191,0.973669754,0.069068246,20,9,621,22,24792,2,2
2,2.380633064,1.175725309,0.911561498,0.925649201,0.822728606,0.576573887,20,15,268,23,45448,4,2
2,1.877047832,1.201535831,1.077697767,1.504477001,0.287923548,0.999823069,4,15,797,14,29675,2,0
-1,1.187486305,1.158579109,2.313553767,0.948212436,0.09809699,0.579197766,12,15,975,23,29916,0,1
-2,1.304803653,1.381054868,1.978326098,2.113385697,0.423141662,0.733155239,11,17,266,26,32702,0,2
3,1.556278765,1.775348002,1.34473124,0.863412828,0.806068052,0.385931557,8,4,300,10,3789,3,0
0,1.172227485,0.579435657,0.032918353,2.253835443,0.027543786,0.401028134,6,18,216,19,16263,0,0
0,1.533758429,1.500806626,2.489616418,2.013631918,0.842590323,0.851258171,12,4,326,13,2875,0,0
-1,1.888802069,0.265948772,1.174705516,1.509874666,0.942962548,0.4230185,7,20,601,24,27731,1,2
0,1.482128633,1.052596568,0.616787293,1.138132247,0.383797649,0.984642478,17,20,286,29,12796,1,1
0,1.668007871,0.927013863,1.017780692,1.301305648,0.690173719,0.123074065,16,6,308,17,27070,0,0
-2,1.94324577,0.536448554,0.203441748,1.294562757,0.764932481,0.489444775,3,3,87,21,34127,1,3
1,1.363934122,1.207303172,1.888472276,1.121716827,0.895468566,0.711625435,3,12,203,24,37770,1,0
-1,1.6423953,1.241005945,1.81808153,1.050212342,0.646378139,0.227525328,20,20,324,20,28103,1,2
3,1.345311204,1.793609198,2.203292697,1.133893175,0.931561022,0.529566476,16,9,295,25,13451,3,0
1,1.485735565,1.211312109,1.992653431,1.560872619,0.468805004,0.591098393,19,8,354,29,29176,2,1
0,1.337634867,1.478866863,1.715519373,1.981617973,0.726865651,0.76302848,3,19,372,27,27710,0,0
2,1.235565073,0.858217029,0.964059996,1.086434292,0.012849611,0.48666479,18,10,496,18,38556,3,1
1,1.586855926,1.008569205,1.341971784,1.564840472,0.068672886,0.554293781,11,3,971,19,35829,1,0
-1,1.783272658,1.191398479,1.596639673,1.923691598,0.022992718,0.029431436,15,2,183,28,44479,0,1
-1,1.573152223,1.047036471,1.136101704,1.618209135,0.570690231,0.631799516,12,19,835,28,9427,0,1
1,1.749363479,0.623331389,1.511359425,0.715161048,0.628095253,0.978904119,3,12,993,16,36780,1,0
-2,1.13103411,1.346874931,0.801284788,1.251197896,0.322707113,0.360921502,15,4,322,27,40413,0,2
0,0.898132404,0.634783206,1.362573506,1.419961175,0.192072098,0.796318548,10,2,605,13,23437,0,0
-2,1.708521751,0.431889343,1.099906614,1.777533675,0.289662757,0.921078876,10,20,234,25,2286,0,2
2,1.843940696,1.753394454,1.443313267,1.667875878,0.916116664,0.154327887,11,3,953,25,43015,2,0
-1,1.524928633,0.34204452,0.437343883,1.611320884,0.312581769,0.829345024,2,7,295,15,41060,1,2
0,2.17401789,1.28135496,1.53913821,1.365226457,0.131915068,0.260300486,3,4,506,29,1916,1,1
0,1.953849399,2.945775182,1.690323754,1.489045316,0.54465185,0.766310434,5,18,530,14,48956,2,2
3,2.84028542,1.612639742,1.014600402,0.685490891,0.205268895,0.609416503,3,7,742,25,41293,4,1
-1,1.399595743,0.883117701,1.546936295,1.154042214,0.169819502,0.906158563,8,19,359,18,44545,0,1
2,1.000575602,0.898792323,2.368190674,1.068233619,0.100461265,0.519703754,10,7,368,17,6809,2,0
0,1.129931605,1.323614376,0.980658136,1.086068095,0.500167332,0.874304611,11,12,574,17,31315,2,2
-1,1.217251097,1.244427525,0.20258558,1.949614393,0.560110042,0.367806536,12,6,229,16,3942,0,1
-1,1.738015692,1.377469284,1.913142032,0.755040704,0.982926189,0.933361846,20,15,210,24,14045,1,2
0,0.420965718,1.544260828,1.274472332,1.667443991,0.978755852,0.156567297,15,17,452,29,18941,1,1
3,2.159275509,1.214964286,0.762768951,0.617709697,0.967877774,0.336947975,8,18,821,24,36112,3,0
-1,1.380351704,1.166793526,1.572569091,1.095342046,0.860927613,0.96870146,4,18,683,14,1272,0,1
-1,1.376603221,0.883632675,0.311065487,2.358251857,0.083222666,0.464916727,2,20,382,20,6705,0,1
2,0.960328417,1.113040342,1.762152588,2.243117197,0.775285288,0.077827051,8,11,458,16,48668,2,0
0,1.442887224,0.787092058,1.181845806,2.004305148,0.783794509,0.80448587,19,17,207,16,37821,0,0
2,1.506619884,1.297493785,0.876861479,1.103060143,0.174843962,0.419862206,13,17,374,14,11688,3,1
-2,1.439027536,1.091815176,1.083017626,1.525500672,0.054386208,0.299263494,20,1,502,16,24138,0,2
0,1.669529628,1.728544511,2.06093733,2.190932701,0.26902066,0.007428153,13,17,744,19,44122,1,1
1,1.205183979,0.821325565,1.175184786,1.353967329,0.199216314,0.553950733,16,1,708,17,26807,1,0
0,1.05209212,0.435103005,0.699214873,1.639676905,0.102128016,0.952077488,15,10,398,24,46949,0,0
0,1.774164065,1.376887236,1.517436121,1.630581295,0.068417741,0.602231324,9,19,60,21,47703,1,1
0,1.549333727,1.370361077,0.914877476,1.608798316,0.951556686,0.081783823,12,4,650,26,25417,1,1
-1,1.598590528,1.865489069,1.119199732,1.004879362,0.054509069,0.802746584,15,6,853,26,49153,1,2
-2,2.029513627,1.575050281,0.816587964,2.076526305,0.168028865,0.217824463,13,2,262,13,14988,0,2
1,0.988717804,0.601412423,0.911244116,2.617268663,0.20864603,0.350874161,19,6,611,14,8064,1,0
1,1.072379771,1.392120013,2.129245521,1.273898332,0.935849651,0.677349583,6,1,338,15,43687,1,0
3,2.128609825,1.255324365,1.907895435,1.157363752,0.638793507,0.361379824,15,8,731,17,28806,3,0
-2,0.758558321,1.666628611,1.270895337,0.918356902,0.635975932,0.174120648,9,14,741,22,27462,0,2
1,0.845293927,1.821696389,1.543704494,0.887374035,0.574618882,0.601824551,1,16,535,27,31645,2,1
-2,1.908930916,1.72446413,1.082422894,1.017649589,0.36316035,0.993933224,15,14,611,19,23891,2,4
1,1.619100096,0.842785152,0.650943476,2.745509665,0.698820678,0.442992092,11,18,128,12,35778,2,1
0,1.552616069,1.399684587,1.509811324,1.248587185,0.319022548,0.160682168,15,11,59,24,44182,1,1
1,1.454170296,0.603756606,0.724797666,1.303022161,0.261228308,0.45898036,20,2,74,11,7286,2,1
-2,1.515633774,0.380564255,0.614286821,1.058639713,0.340546792,0.666279152,9,15,784,13,16463,0,2
1,1.453943943,1.514147125,0.723138089,1.643255078,0.158410273,0.800774299,17,4,153,21,34227,2,1
3,2.177721351,1.038926873,1.40569256,0.812560158,0.631647002,0.824465005,14,7,376,25,28410,3,0
-2,1.300925936,2.315860244,1.797414967,1.852508143,0.036196151,0.112311691,12,5,247,12,18429,0,2
1,1.419313232,0.698374069,1.270506578,2.711502674,0.362592582,0.416124879,1,17,736,24,48834,1,0
-1,2.397224403,2.499471214,1.194730593,1.463900863,0.565554759,0.429233955,1,18,621,26,16589,2,3
2,1.513754851,1.563113537,1.236765757,1.878123282,0.5091386,0.689314228,12,16,777,20,17624,3,1
0,2.616008195,2.119111735,0.788823287,1.935982938,0.989093725,0.410294093,20,10,922,24,31257,1,1
-1,1.447510149,1.733272572,1.245242998,1.785813297,0.524351634,0.450556495,16,16,146,18,25432,0,1
2,2.183707491,1.514894227,1.451871051,0.493628136,0.697192052,0.337319181,9,15,255,14,49114,2,0
1,0.672327981,0.301676222,1.184802428,0.363490635,0.261647254,0.137143025,8,3,913,18,49008,3,2
1,1.57682223,1.301319706,1.121784253,1.529144116,0.505777027,0.892486957,10,16,145,12,7894,3,2
1,0.707763218,0.884258907,1.154062164,1.722065403,0.358148531,0.703885872,13,8,302,25,28814,1,0
-2,1.922227153,0.16540906,1.462130494,2.111112771,0.400606867,0.768704547,2,2,873,23,41097,0,2
-2,0.893566092,1.038604372,2.016651332,1.666769783,0.966676016,0.799613444,10,19,84,24,10582,1,3
-1,1.641884777,0.851397811,2.226455848,1.645677125,0.132268715,0.340135335,3,4,856,29,11134,1,2
3,1.358902062,1.157315594,1.406897267,0.814474936,0.106020594,0.613110478,14,4,251,11,22291,3,0
0,0.920898407,0.823242629,2.273932227,2.008856988,0.24861813,0.439851279,2,8,744,22,20619,1,1
-1,0.690320009,1.396281356,1.630488338,1.711532993,0.214254058,0.185427749,4,3,636,10,33827,0,1
0,1.244479768,0.440332706,1.405379149,2.154181153,0.987175728,0.290163229,16,6,738,26,8620,1,1
2,2.370314723,1.053096823,1.255471563,2.668824126,0.448766317,0.316058999,10,10,123,10,19662,2,0
-1,1.353257473,1.378111374,0.768005155,0.857217593,0.190347616,0.97189532,5,14,972,13,11571,2,3
1,1.958610771,0.718435143,2.080029964,0.830780387,0.765379569,0.993331941,15,11,439,20,12941,3,2
2,1.471478566,1.044004003,0.748062162,1.610210987,0.889223659,0.848532374,5,14,673,28,36711,2,0
0,1.938363387,-0.310996674,0.672495183,0.791812612,0.453532239,0.892434358,2,8,146,13,11403,3,3
1,0.586544311,0.572861659,1.354196901,2.170465856,0.987478564,0.974324988,15,8,401,11,27101,1,0
3,1.298405847,1.352924552,1.570342311,0.507479892,0.405382646,0.419115184,10,16,874,19,15994,4,1
1,1.974702762,1.193445222,1.173943562,1.544050498,0.320643555,0.474990572,15,17,827,10,9099,1,0
1,1.418372526,1.193884243,1.548838281,0.508790584,0.149659181,0.766530581,15,20,526,17,32310,1,0
0,1.456772359,1.180607507,0.541743963,1.067166673,0.423056311,0.348472399,17,8,322,20,2945,0,0
1,1.284769044,0.651613183,1.681342486,1.512769292,0.315971567,0.531006542,13,12,362,26,40450,2,1
2,2.074689692,1.478235914,1.408386581,1.297720773,0.023093298,0.311274711,20,20,794,28,46595,2,0
1,1.648757177,0.866670889,1.633198008,1.74430394,0.304944336,0.390626803,2,9,181,16,34920,2,1
1,1.522011138,1.394213728,1.510053398,1.64857076,0.813800253,0.400385253,12,4,927,15,24767,1,0
-3,1.821527273,2.180178085,1.028302617,1.612832293,0.741914873,0.661833889,4,12,806,15,46525,1,4
1,1.794112465,0.909766517,1.453657325,1.257089061,0.066177792,0.286069856,20,20,436,20,14717,1,0
1,1.606293523,1.626536018,1.675997691,1.327858193,0.59898368,0.916143811,9,13,529,12,14821,1,0
-1,2.273515748,1.035346491,1.029854176,1.806716555,0.451927694,0.373690791,1,10,503,23,47282,1,2
0,1.469856233,0.809428523,1.551620256,0.808560821,0.574909919,0.761164367,19,14,351,28,38765,0,0
1,1.639040524,1.474349736,0.932873135,2.276104166,0.165855003,0.728578175,1,2,367,25,44286,1,0
2,1.178523723,1.092178442,0.827750292,2.574941233,0.905230417,0.817181676,5,16,665,18,5103,2,0
2,1.575057614,1.448708585,1.050855449,1.482354402,0.889321709,0.46632089,6,16,789,15,24178,2,0
-1,2.293880762,2.107458908,1.961437213,1.975799663,0.74820421,0.037913791,6,18,159,14,12458,0,1
0,1.178371199,1.158437332,1.227109364,1.023407501,0.999857713,0.758702406,18,16,853,28,8169,0,0
2,0.933203587,1.09617902,1.553163233,1.975883526,0.109145362,0.973628442,2,18,641,10,6886,2,0
1,1.998379821,1.441210669,1.558628089,0.304349711,0.388962722,0.865059459,17,11,831,16,48452,1,0
0,1.425616924,1.301791353,2.054455901,1.891918331,0.398821982,0.978433803,7,16,788,21,35551,1,1
0,1.548002102,1.328772996,2.240146744,1.799438697,0.662819786,0.283687967,7,14,128,27,1531,0,0
0,1.477443348,0.595968764,0.73253123,2.021014105,0.431410595,0.816422378,7,7,825,17,34568,0,0
2,1.539560862,0.708899248,1.374326013,1.239715797,0.905404611,0.72507199,13,4,930,11,6212,3,1
0,1.925265342,0.799367235,1.142031595,1.394673003,0.633123591,0.960716075,11,1,192,20,35301,0,0
1,1.080437905,1.771288965,0.821949508,1.465637825,0.211737235,0.396152709,18,8,928,27,18314,1,0
0,0.994112958,1.596138156,1.225805498,1.113126058,0.607790959,0.213598491,3,19,82,16,17098,0,0
-2,1.542484069,1.815580773,0.999884458,1.707466039,0.981799991,0.657735308,20,9,66,27,47830,1,3
0,0.696780155,0.415561721,1.709178203,0.708894621,0.290981754,0.422609438,6,4,216,14,41319,1,1
0,0.813473232,1.552383689,1.762329135,1.223442194,0.257072452,0.214812401,3,15,464,12,40215,0,0
-1,2.433341574,1.342577768,1.164550752,1.117901604,0.91634205,0.197175183,17,14,580,15,4572,1,2
6,1.878734165,2.30493377,1.232777708,0.821946695,0.740594821,0.151278909,10,9,325,17,4928,7,1
-1,1.494971764,1.72853432,1.101205016,1.802525492,0.027755494,0.833427806,17,16,287,15,7228,1,2
3,2.119003468,1.183947988,1.429407932,1.209827851,0.6734244,0.713353292,19,7,941,14,16509,3,0
-1,0.979700385,1.13581395,0.853456673,1.044581076,0.77386913,0.604851174,5,17,629,21,1748,0,1
1,1.342198438,1.379531595,0.465674446,0.580821786,0.064717876,0.51013563,17,10,328,23,23858,3,2
1,1.811726805,0.514852281,1.003995154,0.746633583,0.87923359,0.17316351,1,15,679,28,34960,1,0
2,1.945335841,0.485948607,1.286910316,1.802835509,0.170368977,0.313925251,12,10,613,16,35236,2,0
5,1.756458423,1.069480564,0.798036398,0.911497631,0.486785355,0.195063385,11,18,936,16,22682,5,0
1,0.229380596,1.526527308,1.566214665,2.138327444,0.979843633,0.049995677,4,17,859,28,28013,1,0
-3,1.015958941,1.409204417,0.916964871,1.141572931,0.305224902,0.185616277,4,3,391,18,41867,1,4
1,1.738534046,1.346834161,0.536608859,1.557278098,0.513101365,0.118573407,19,15,433,19,5690,1,0
1,1.322024253,1.122158157,1.27754369,0.825797463,0.800037226,0.628999392,20,11,861,11,35987,2,1
2,2.77011581,1.668891516,1.021088823,1.783219767,0.002520239,0.449940876,13,5,521,19,31229,2,0
0,1.96327915,1.132001802,1.520598325,1.403752265,0.760820284,0.047218194,1,10,103,21,17587,0,0
0,1.77904094,0.791460365,2.71807637,1.410510933,0.442456116,0.24665716,18,17,460,18,22453,2,2
1,0.941525223,0.579961604,0.757645108,1.691076026,0.404172013,0.737461898,12,7,482,17,30179,1,0
1,1.48235163,0.963379168,1.597553881,1.360159382,0.09729081,0.741881666,19,1,926,15,30358,2,1
0,1.620601982,0.616451381,1.62568661,0.62664018,0.765104426,0.097783418,13,14,471,27,9590,2,2
1,2.063891815,0.779349175,1.574527983,1.466516417,0.064392175,0.470155341,6,7,513,17,24388,1,0
0,1.940565549,0.498628799,1.419470215,1.876473915,0.244157431,0.715912812,9,20,718,21,8097,1,1
0,2.016494597,1.718553824,0.96285964,1.71346822,0.066855125,0.155848837,3,3,371,17,31165,1,1
-1,1.038043992,0.765569239,1.440150783,1.251879202,0.258073064,0.215889763,16,15,963,22,1967,0,1
-1,2.206075849,0.93368715,1.010706924,1.616000915,0.877852405,0.03957216,12,6,711,19,2324,1,2
2,0.809784624,1.477760916,1.072811025,1.122465672,0.68961354,0.896896785,12,20,785,24,33864,2,0
-1,1.232042719,0.46757744,0.977980046,1.863720004,0.811356389,0.344280886,7,4,228,19,4423,0,1
-1,1.715385567,0.658163413,0.841084256,1.998683249,0.558133192,0.553553435,12,17,925,14,5584,0,1
-2,1.425054204,2.140043416,1.471694839,2.04553586,0.109233666,0.381608934,9,1,549,22,23614,0,2
0,0.996981571,0.768932855,1.260931745,0.654101579,0.954776463,0.290081286,12,17,223,20,7946,0,0
-1,1.089225087,1.455367615,1.294467245,1.436132491,0.016339586,0.47475165,20,6,554,22,10929,1,2
0,0.725872839,2.175110497,1.815075777,1.669160966,0.170320626,0.46573895,18,12,167,16,44825,2,2
1,1.76598732,1.510809709,1.446202463,1.294427668,0.11109654,0.160582513,2,13,914,18,19026,3,2
