Publico Presente,Time da Casa,Time Visitante,Dia da Semana,Posicao do Time da Casa no Campeonato,Posicao do Time Visitante no Campeonato,Popularidade do Time da Casa,Popularidade do Time Visitante,Importancia do Jogo,Cor do Uniforme da Casa,Cor do Uniforme Visitante,Distancia entre Cidades (km),Previsao do Tempo,Dia Nacional
21696,Team C,Team D,Tuesday,10,12,6.4,5.5,Low,Vermelho,Branco,92,Neve,Sim
47121,Team A,Team D,Wednesday,18,16,6.8,4.6,Medium,Verde,Branco,815,Nublado,Nao
25340,Team A,Team A,Wednesday,9,2,9.9,8.2,Medium,Branco,Azul,890,Nublado,Nao
22906,Team B,Team C,Wednesday,20,5,7.7,3.3,High,Branco,Vermelho,822,Ensolarado,Sim
18868,Team C,Team A,Saturday,14,2,1.5,3.3,Low,Verde,Verde,441,Chuvoso,Sim
10779,Team D,Team A,Wednesday,10,10,9.8,1,Low,Verde,Azul,734,Chuvoso,Nao
5630,Team C,Team C,Sunday,12,18,3.5,3.3,High,Azul,Azul,213,Nublado,Nao
13237,Team A,Team A,Tuesday,13,5,7.7,3.3,Medium,Amarelo,Branco,167,Nublado,Sim
2404,Team D,Team D,Monday,16,9,9.7,3.8,High,Azul,Verde,95,Ensolarado,Nao
34103,Team A,Team D,Tuesday,9,20,3.7,4.2,High,Azul,Verde,964,Neve,Nao
41742,Team D,Team C,Monday,9,4,3,3.7,Low,Verde,Vermelho,532,Chuvoso,Nao
33475,Team C,Team D,Monday,3,17,6.9,1.3,High,Branco,Branco,269,Neve,Sim
-6026,Team A,Team A,Tuesday,16,4,5.4,4,High,Vermelho,Azul,582,Ensolarado,Sim
17782,Team B,Team D,Monday,15,9,7.5,8.9,High,Amarelo,Verde,830,Nublado,Sim
31563,Team D,Team C,Sunday,12,11,1.6,6.5,Medium,Amarelo,Azul,955,Nublado,Nao
29744,Team D,Team B,Sunday,18,3,1.5,6,High,Verde,Amarelo,169,Chuvoso,Sim
9162,Team D,Team B,Thursday,18,3,2.2,2.7,Low,Vermelho,Vermelho,696,Ensolarado,Sim
38628,Team D,Team A,Sunday,15,19,5.7,6,Medium,Azul,Branco,528,Nublado,Nao
35627,Team D,Team B,Saturday,1,2,8.1,4.8,High,Azul,Amarelo,731,Neve,Sim
25851,Team B,Team D,Monday,8,10,8,5.4,Medium,Branco,Amarelo,358,Chuvoso,Sim
39414,Team A,Team C,Monday,8,11,1.9,4.8,High,Amarelo,Branco,934,Ensolarado,Sim
10670,Team B,Team D,Saturday,6,18,6.5,4.4,Low,Azul,Vermelho,554,Nublado,Nao
26536,Team C,Team C,Wednesday,18,2,1.2,2.1,Medium,Vermelho,Vermelho,373,Nublado,Nao
16810,Team A,Team C,Saturday,9,14,5.9,6.1,High,Branco,Vermelho,119,Neve,Sim
2446,Team B,Team C,Sunday,13,9,8.9,8.8,Low,Amarelo,Azul,886,Nublado,Nao
41923,Team A,Team D,Wednesday,17,14,8.6,2.5,High,Amarelo,Azul,57,Nublado,Sim
57942,Team C,Team A,Saturday,11,1,5.7,5.5,Medium,Amarelo,Verde,292,Nublado,Sim
36414,Team B,Team C,Thursday,3,4,5.6,9.1,Low,Branco,Vermelho,832,Chuvoso,Sim
23330,Team C,Team A,Tuesday,13,10,9.3,8.1,Low,Branco,Amarelo,303,Ensolarado,Nao
8814,Team D,Team B,Tuesday,19,14,1.5,5.5,High,Verde,Verde,545,Nublado,Sim
37310,Team A,Team B,Thursday,16,19,1.9,7.6,Low,Amarelo,Verde,69,Nublado,Sim
10332,Team A,Team B,Monday,6,8,1.8,3.8,Low,Amarelo,Vermelho,393,Neve,Nao
20150,Team B,Team B,Monday,2,16,4.3,2.6,Medium,Vermelho,Branco,246,Chuvoso,Sim
56541,Team C,Team C,Thursday,8,12,3.2,3.5,Low,Branco,Branco,891,Ensolarado,Sim
33697,Team A,Team C,Sunday,5,14,2.4,4,Low,Branco,Verde,888,Chuvoso,Sim
25536,Team D,Team A,Saturday,15,16,7.1,1.4,Low,Vermelho,Branco,926,Chuvoso,Sim
21803,Team D,Team C,Monday,9,10,5,6.9,High,Amarelo,Branco,999,Chuvoso,Nao
-3646,Team C,Team D,Saturday,9,17,7.5,3.7,High,Verde,Azul,665,Chuvoso,Sim
43003,Team C,Team D,Monday,3,2,7.1,3.2,Low,Branco,Azul,879,Neve,Nao
30925,Team B,Team D,Friday,8,16,2.3,5.4,High,Branco,Branco,52,Nublado,Nao
5650,Team C,Team B,Monday,11,14,1.2,2.9,Medium,Azul,Azul,327,Neve,Nao
31268,Team D,Team A,Tuesday,3,17,6.5,3.2,Low,Verde,Verde,794,Neve,Nao
10824,Team D,Team D,Thursday,3,4,7.2,9.6,Low,Vermelho,Azul,241,Neve,Sim
45878,Team A,Team B,Sunday,7,16,9.8,8.5,High,Branco,Verde,770,Neve,Nao
28725,Team D,Team C,Wednesday,9,12,9.2,8.7,Medium,Verde,Branco,450,Nublado,Nao
5430,Team D,Team A,Saturday,3,5,5.8,3.3,Medium,Amarelo,Azul,831,Nublado,Nao
38888,Team A,Team A,Friday,10,8,3.9,7,High,Vermelho,Amarelo,446,Nublado,Nao
4131,Team B,Team D,Friday,3,14,1.8,1.5,Medium,Branco,Amarelo,266,Neve,Sim
25142,Team C,Team C,Saturday,17,7,6.8,4.7,Medium,Verde,Azul,367,Chuvoso,Nao
25969,Team A,Team A,Thursday,18,19,2,3,Low,Verde,Vermelho,187,Ensolarado,Nao
37100,Team A,Team A,Tuesday,20,14,5.5,7.9,Medium,Azul,Branco,837,Neve,Nao
19062,Team B,Team D,Thursday,18,18,4,2,High,Vermelho,Vermelho,578,Ensolarado,Nao
18971,Team C,Team A,Tuesday,14,9,4,5.5,Low,Amarelo,Amarelo,648,Ensolarado,Nao
47203,Team C,Team D,Tuesday,17,12,9.9,4.7,High,Vermelho,Azul,573,Nublado,Sim
55317,Team C,Team C,Sunday,5,6,8.7,5.9,Low,Verde,Vermelho,776,Chuvoso,Sim
-4758,Team A,Team C,Monday,13,6,1.8,4.4,Low,Verde,Branco,181,Nublado,Sim
48955,Team D,Team B,Saturday,11,17,8.7,1.4,High,Verde,Amarelo,867,Ensolarado,Nao
31146,Team D,Team A,Wednesday,4,1,9,7.9,High,Verde,Vermelho,941,Ensolarado,Nao
44899,Team A,Team A,Tuesday,14,2,9.4,6.4,Low,Amarelo,Azul,191,Chuvoso,Nao
32001,Team D,Team A,Monday,9,6,2,4.4,High,Azul,Branco,387,Nublado,Nao
38542,Team B,Team B,Saturday,10,8,5.8,3.1,High,Branco,Branco,220,Nublado,Sim
44826,Team D,Team B,Friday,11,12,6.7,1.2,High,Vermelho,Verde,77,Ensolarado,Sim
31527,Team A,Team B,Thursday,3,4,7.2,8.4,Low,Branco,Verde,805,Nublado,Nao
14533,Team D,Team B,Wednesday,19,14,7.7,2.4,Low,Vermelho,Amarelo,817,Chuvoso,Nao
26612,Team B,Team B,Sunday,7,5,4,7.6,High,Azul,Vermelho,499,Chuvoso,Sim
10630,Team D,Team D,Tuesday,6,20,3.6,2.5,High,Verde,Verde,407,Nublado,Sim
44153,Team D,Team A,Wednesday,1,10,5.1,8.3,Medium,Branco,Amarelo,922,Neve,Nao
24584,Team B,Team B,Sunday,9,12,6.8,2.6,Low,Azul,Vermelho,490,Chuvoso,Nao
24567,Team C,Team D,Monday,7,8,9.7,2.1,High,Branco,Branco,812,Ensolarado,Sim
28758,Team B,Team A,Friday,7,15,6.2,4.3,Low,Vermelho,Amarelo,464,Chuvoso,Nao
8273,Team D,Team B,Saturday,15,19,6.5,1.5,High,Vermelho,Amarelo,869,Chuvoso,Nao
20606,Team C,Team B,Friday,18,6,8.3,8,High,Verde,Vermelho,638,Nublado,Sim
42491,Team C,Team C,Thursday,14,6,1.7,4,High,Azul,Branco,869,Neve,Sim
35199,Team A,Team C,Wednesday,10,9,4.1,2,Low,Branco,Amarelo,100,Ensolarado,Nao
51083,Team A,Team A,Saturday,3,5,1.7,7.7,High,Branco,Amarelo,424,Nublado,Nao
-7035,Team B,Team D,Saturday,17,15,5.5,3.7,Medium,Branco,Branco,151,Ensolarado,Sim
34577,Team B,Team A,Friday,15,17,2.4,9.2,Medium,Branco,Amarelo,669,Nublado,Nao
27208,Team B,Team D,Tuesday,2,14,4.6,4.6,Low,Azul,Vermelho,422,Ensolarado,Sim
8174,Team D,Team C,Saturday,7,11,5.2,7.3,High,Azul,Vermelho,271,Neve,Sim
21513,Team B,Team A,Thursday,19,19,3.1,7.3,High,Verde,Vermelho,423,Neve,Nao
37409,Team A,Team A,Saturday,14,18,1.8,8.6,High,Branco,Amarelo,190,Chuvoso,Nao
-232,Team B,Team D,Saturday,8,10,8.8,8.3,Low,Vermelho,Azul,476,Chuvoso,Nao
23112,Team C,Team B,Wednesday,7,4,6.7,5.7,Medium,Vermelho,Verde,737,Ensolarado,Nao
43103,Team A,Team C,Monday,13,16,4.1,3.7,Low,Azul,Azul,469,Nublado,Sim
33737,Team C,Team B,Wednesday,2,13,8,2.4,Medium,Branco,Vermelho,958,Neve,Sim
27797,Team D,Team B,Friday,6,14,3.4,2.4,High,Azul,Branco,727,Nublado,Sim
8331,Team B,Team C,Sunday,14,20,7.4,7.1,Low,Verde,Branco,672,Neve,Sim
36103,Team A,Team C,Monday,16,5,6.1,5.4,High,Verde,Branco,411,Nublado,Nao
34758,Team C,Team D,Saturday,16,8,9,6.4,Low,Verde,Branco,108,Chuvoso,Sim
-3845,Team A,Team B,Monday,19,8,9.2,8,Medium,Branco,Azul,511,Chuvoso,Nao
19430,Team C,Team A,Sunday,1,19,5.2,2.1,Low,Verde,Verde,409,Chuvoso,Sim
16230,Team A,Team A,Sunday,14,4,2.6,4,High,Amarelo,Vermelho,786,Chuvoso,Nao
13936,Team C,Team C,Thursday,19,1,8,2,Medium,Amarelo,Verde,256,Chuvoso,Nao
36665,Team D,Team B,Wednesday,7,18,9.1,2,Low,Branco,Branco,439,Neve,Nao
45672,Team C,Team C,Saturday,19,14,8.4,7.9,Medium,Verde,Verde,194,Nublado,Sim
44121,Team C,Team C,Sunday,15,20,9.9,6.8,Low,Vermelho,Branco,688,Chuvoso,Nao
38406,Team A,Team A,Friday,17,17,6.7,5.4,Low,Verde,Amarelo,648,Neve,Sim
11933,Team C,Team B,Tuesday,11,15,8.9,5.5,Medium,Azul,Verde,299,Ensolarado,Nao
-3268,Team C,Team B,Tuesday,17,19,8.8,3.8,Medium,Verde,Branco,165,Neve,Nao
10330,Team B,Team D,Wednesday,13,3,6.3,7.7,Medium,Vermelho,Branco,735,Neve,Nao
13590,Team C,Team D,Thursday,16,1,9.3,2.6,Low,Azul,Azul,647,Ensolarado,Nao
39606,Team B,Team B,Tuesday,4,1,3.8,3.6,Low,Amarelo,Amarelo,706,Ensolarado,Sim
35895,Team A,Team A,Friday,10,11,1.5,5.7,Low,Branco,Vermelho,647,Ensolarado,Sim
37399,Team C,Team D,Sunday,10,19,9.8,7.6,Medium,Amarelo,Azul,866,Nublado,Nao
5419,Team D,Team B,Sunday,9,18,7.4,5.5,Medium,Verde,Branco,739,Ensolarado,Sim
21683,Team A,Team C,Thursday,20,11,5.4,5.8,Medium,Amarelo,Verde,377,Ensolarado,Sim
60000,Team D,Team A,Saturday,15,20,2.5,2.9,High,Branco,Vermelho,958,Ensolarado,Sim
7977,Team B,Team D,Thursday,3,9,9.1,7.5,High,Verde,Verde,802,Nublado,Sim
8335,Team B,Team C,Friday,6,13,5.7,7.3,Low,Amarelo,Amarelo,841,Chuvoso,Sim
3972,Team D,Team D,Thursday,7,16,9.1,3.1,Medium,Verde,Verde,544,Chuvoso,Nao
10378,Team D,Team C,Wednesday,12,3,8.1,8,High,Azul,Verde,74,Neve,Sim
42472,Team D,Team B,Saturday,10,12,4.5,8.2,Medium,Vermelho,Azul,750,Neve,Sim
6663,Team A,Team A,Tuesday,8,3,7.7,4.6,Low,Verde,Verde,277,Nublado,Sim
11768,Team D,Team C,Tuesday,12,2,6.9,7,Medium,Amarelo,Azul,413,Chuvoso,Sim
44235,Team C,Team B,Thursday,5,7,8.5,7.2,Medium,Verde,Vermelho,174,Chuvoso,Sim
28025,Team A,Team C,Saturday,13,6,9.5,2.7,High,Verde,Amarelo,757,Chuvoso,Sim
37843,Team B,Team C,Sunday,7,2,3.1,7.2,Medium,Verde,Amarelo,654,Neve,Sim
7217,Team D,Team D,Saturday,17,13,6.9,3.2,Medium,Verde,Vermelho,605,Ensolarado,Sim
52081,Team B,Team B,Thursday,2,20,3.7,3.9,Low,Vermelho,Branco,589,Neve,Nao
19219,Team C,Team C,Friday,19,6,1.9,5,High,Branco,Vermelho,788,Nublado,Sim
30433,Team D,Team D,Thursday,6,15,6.9,1.4,Medium,Verde,Amarelo,55,Neve,Sim
-2246,Team B,Team D,Sunday,4,17,1.9,9.1,High,Amarelo,Azul,735,Nublado,Nao
1300,Team C,Team D,Wednesday,18,4,4,3.1,Low,Amarelo,Amarelo,105,Nublado,Sim
16074,Team D,Team A,Saturday,11,19,4.9,7.9,High,Amarelo,Amarelo,437,Chuvoso,Nao
35988,Team C,Team B,Thursday,4,10,4,1.6,High,Amarelo,Amarelo,262,Chuvoso,Nao
62873,Team D,Team A,Sunday,10,6,8,7.1,Medium,Verde,Amarelo,940,Nublado,Nao
29854,Team C,Team A,Sunday,13,4,6.3,4.5,Medium,Vermelho,Vermelho,378,Neve,Sim
-859,Team B,Team A,Monday,19,16,7.5,6.4,High,Verde,Amarelo,677,Nublado,Sim
40442,Team A,Team C,Monday,19,4,8.9,4.8,High,Amarelo,Amarelo,300,Ensolarado,Sim
16032,Team D,Team D,Saturday,8,18,6.6,3.6,High,Amarelo,Vermelho,312,Ensolarado,Nao
31075,Team D,Team B,Sunday,13,15,9.9,2.6,Medium,Azul,Branco,70,Ensolarado,Sim
-6836,Team A,Team C,Saturday,1,14,3.4,5,Low,Amarelo,Amarelo,63,Ensolarado,Nao
12158,Team B,Team D,Sunday,9,13,3.4,7.6,Medium,Amarelo,Vermelho,940,Chuvoso,Nao
24337,Team D,Team A,Thursday,17,19,6,5.9,High,Branco,Azul,495,Ensolarado,Nao
16321,Team A,Team B,Saturday,17,18,4.5,8.6,High,Vermelho,Amarelo,492,Ensolarado,Nao
3451,Team A,Team C,Friday,19,13,1.1,9.2,Low,Azul,Vermelho,315,Nublado,Sim
35490,Team B,Team C,Monday,14,20,4.2,8.9,Medium,Verde,Azul,705,Ensolarado,Sim
-2550,Team A,Team C,Saturday,18,1,2.8,4.1,High,Azul,Amarelo,208,Nublado,Sim
22603,Team D,Team D,Wednesday,9,15,9.5,7.4,Low,Azul,Branco,369,Ensolarado,Nao
39725,Team B,Team C,Tuesday,6,18,1.1,5.2,Medium,Branco,Verde,884,Ensolarado,Sim
39831,Team C,Team D,Saturday,17,18,4.1,2.9,Medium,Vermelho,Branco,251,Ensolarado,Sim
31952,Team C,Team B,Thursday,19,20,9.1,5.1,Medium,Vermelho,Amarelo,604,Nublado,Sim
38596,Team D,Team B,Saturday,9,5,7.7,9.9,High,Azul,Vermelho,81,Chuvoso,Sim
1283,Team A,Team B,Monday,2,10,7.7,3.2,Low,Amarelo,Branco,413,Ensolarado,Sim
45281,Team B,Team B,Tuesday,4,1,5.5,7.9,High,Verde,Branco,161,Ensolarado,Sim
15887,Team C,Team C,Wednesday,12,18,4.5,9.5,Low,Vermelho,Vermelho,877,Chuvoso,Sim
35144,Team B,Team A,Friday,17,6,8.9,4.6,Medium,Amarelo,Amarelo,478,Ensolarado,Nao
35896,Team D,Team C,Tuesday,12,17,5.1,9.1,High,Verde,Amarelo,867,Ensolarado,Nao
25409,Team D,Team D,Thursday,12,16,5.7,6.7,Low,Vermelho,Azul,894,Neve,Nao
21976,Team B,Team C,Tuesday,3,15,5.7,9.3,Low,Azul,Branco,551,Neve,Sim
6545,Team B,Team B,Thursday,13,10,3.1,7.4,Low,Vermelho,Verde,687,Ensolarado,Sim
39469,Team D,Team C,Friday,10,2,6.2,3.4,High,Amarelo,Branco,149,Chuvoso,Nao
16113,Team D,Team D,Saturday,6,2,6.4,4.5,Low,Branco,Vermelho,94,Ensolarado,Sim
38721,Team A,Team D,Monday,12,5,6,3.6,Medium,Branco,Branco,878,Neve,Sim
28594,Team C,Team C,Friday,1,19,2.3,9.3,High,Amarelo,Verde,840,Chuvoso,Sim
-2542,Team A,Team C,Thursday,3,10,3.5,5.1,Low,Vermelho,Amarelo,980,Ensolarado,Nao
-2368,Team B,Team D,Saturday,7,1,8.7,4.2,Medium,Verde,Amarelo,189,Ensolarado,Nao
11756,Team C,Team D,Sunday,17,4,4.3,1.8,High,Branco,Branco,264,Ensolarado,Sim
52815,Team A,Team B,Tuesday,8,20,7.4,2.4,High,Branco,Verde,585,Ensolarado,Sim
24125,Team C,Team D,Sunday,10,2,3.8,6.4,Medium,Azul,Verde,548,Chuvoso,Sim
42921,Team A,Team B,Wednesday,10,13,6.2,3.5,Medium,Verde,Verde,181,Nublado,Sim
21217,Team B,Team C,Monday,12,14,1.4,6.7,Low,Branco,Amarelo,825,Neve,Nao
21204,Team D,Team D,Sunday,4,20,5.6,1.4,Low,Vermelho,Amarelo,150,Ensolarado,Sim
6969,Team C,Team A,Monday,8,8,5.7,6.3,High,Amarelo,Branco,873,Nublado,Nao
3553,Team B,Team D,Tuesday,4,18,2.3,4,High,Vermelho,Verde,520,Chuvoso,Sim
41161,Team B,Team B,Wednesday,2,12,4.3,1.7,Low,Branco,Branco,396,Ensolarado,Sim
23761,Team D,Team B,Monday,16,11,3.3,7,Low,Amarelo,Verde,610,Chuvoso,Sim
10128,Team D,Team A,Wednesday,20,15,1.2,9.5,Low,Vermelho,Verde,818,Neve,Sim
8576,Team D,Team D,Tuesday,9,2,2.4,9.8,High,Verde,Vermelho,484,Neve,Nao
44127,Team C,Team D,Thursday,13,16,4.9,4.6,Low,Azul,Verde,552,Ensolarado,Sim
29470,Team D,Team D,Thursday,14,16,1.6,8.7,Low,Vermelho,Branco,232,Nublado,Sim
31199,Team C,Team A,Friday,3,12,9.2,8.5,High,Verde,Amarelo,147,Ensolarado,Nao
8301,Team D,Team C,Thursday,12,16,5.3,6.9,High,Vermelho,Vermelho,412,Nublado,Sim
41242,Team A,Team D,Monday,6,4,9.4,3.1,Low,Branco,Vermelho,469,Ensolarado,Nao
11001,Team A,Team C,Saturday,8,4,1.3,7.9,Medium,Amarelo,Branco,503,Chuvoso,Sim
24468,Team B,Team B,Tuesday,17,10,2.1,3.4,High,Verde,Azul,219,Chuvoso,Sim
54427,Team A,Team A,Monday,20,16,5.8,9.9,Medium,Azul,Branco,624,Neve,Nao
45212,Team D,Team D,Saturday,4,3,9.3,6.9,Medium,Amarelo,Amarelo,795,Nublado,Sim
37006,Team C,Team C,Friday,3,11,8.3,8.7,High,Verde,Amarelo,133,Nublado,Sim
12192,Team C,Team D,Thursday,6,1,1.5,2.9,Low,Verde,Azul,823,Nublado,Sim
3577,Team D,Team A,Tuesday,20,11,6.2,5.2,Low,Vermelho,Verde,527,Neve,Nao
36627,Team C,Team A,Saturday,14,14,4.8,2,Medium,Amarelo,Azul,742,Nublado,Sim
15333,Team B,Team D,Tuesday,19,14,2.7,5.3,Medium,Branco,Amarelo,824,Nublado,Nao
5451,Team A,Team B,Sunday,14,9,7.6,7.3,Medium,Branco,Vermelho,272,Chuvoso,Nao
29121,Team D,Team D,Saturday,1,1,1.2,5.6,Low,Branco,Verde,799,Nublado,Nao
30949,Team A,Team D,Wednesday,19,16,8.7,1.7,Low,Amarelo,Verde,415,Nublado,Nao
21778,Team A,Team D,Sunday,1,15,5.9,1.3,High,Amarelo,Azul,908,Nublado,Sim
27456,Team D,Team C,Wednesday,4,2,7.8,2,Medium,Branco,Vermelho,317,Ensolarado,Nao
10933,Team D,Team B,Tuesday,17,14,7,5.4,Low,Vermelho,Amarelo,338,Neve,Nao
772,Team A,Team A,Thursday,4,7,7.6,7.8,Low,Amarelo,Azul,173,Chuvoso,Sim
19023,Team D,Team B,Sunday,18,2,6,1.9,Low,Azul,Azul,212,Ensolarado,Nao
30681,Team A,Team D,Friday,4,7,9.6,3.5,High,Azul,Branco,361,Chuvoso,Sim
18174,Team A,Team D,Friday,4,18,5.5,3.5,High,Azul,Verde,409,Neve,Nao
-1710,Team A,Team D,Saturday,9,16,8.6,6.1,Medium,Vermelho,Azul,424,Nublado,Sim
60077,Team D,Team D,Sunday,1,17,3.8,8.8,Low,Verde,Vermelho,227,Ensolarado,Nao
25365,Team D,Team B,Monday,11,12,7.9,2.5,Low,Vermelho,Branco,913,Nublado,Nao
9537,Team B,Team A,Monday,16,14,8.4,4.8,Medium,Branco,Branco,915,Neve,Sim
54522,Team A,Team D,Saturday,18,3,1.8,8.2,Low,Verde,Vermelho,794,Ensolarado,Sim
18043,Team A,Team C,Wednesday,4,8,3.8,7.3,Low,Amarelo,Branco,552,Nublado,Sim
35982,Team A,Team A,Monday,18,2,4.4,7.5,Medium,Branco,Branco,158,Nublado,Sim
11778,Team B,Team B,Tuesday,15,9,8.3,6.3,High,Vermelho,Vermelho,843,Chuvoso,Sim
8290,Team A,Team B,Tuesday,18,10,5.1,5.7,High,Azul,Branco,763,Ensolarado,Sim
14140,Team B,Team C,Monday,12,4,2.7,5.1,Medium,Amarelo,Branco,173,Chuvoso,Nao
5457,Team B,Team A,Sunday,2,19,7,4.2,Medium,Azul,Vermelho,104,Neve,Nao
23224,Team D,Team B,Tuesday,14,19,5.2,7.1,High,Azul,Vermelho,55,Chuvoso,Sim
47976,Team B,Team D,Friday,6,3,2.3,4.1,High,Verde,Vermelho,444,Chuvoso,Sim
36742,Team D,Team D,Saturday,9,10,8.2,3.1,Low,Amarelo,Amarelo,277,Neve,Sim
55853,Team C,Team D,Thursday,4,12,3.3,6.6,Low,Azul,Branco,896,Nublado,Sim
55135,Team A,Team A,Tuesday,11,2,4.3,7.4,High,Vermelho,Vermelho,98,Nublado,Nao
17933,Team C,Team C,Friday,11,10,2.1,1.9,High,Azul,Azul,708,Ensolarado,Sim
13812,Team A,Team A,Saturday,10,3,3.3,1.7,High,Branco,Azul,849,Neve,Sim
18341,Team B,Team A,Friday,17,14,3.6,6.6,High,Verde,Azul,835,Nublado,Sim
4078,Team D,Team B,Saturday,16,6,3.6,3.4,High,Branco,Azul,879,Ensolarado,Sim
15689,Team B,Team D,Tuesday,16,15,1.2,8.4,High,Verde,Azul,960,Nublado,Sim
13732,Team A,Team A,Friday,8,4,2,9.1,High,Amarelo,Verde,717,Ensolarado,Sim
46191,Team A,Team D,Saturday,12,9,5.4,9.8,Low,Verde,Branco,292,Nublado,Nao
29734,Team B,Team C,Thursday,16,5,1.2,8.3,Low,Vermelho,Vermelho,758,Nublado,Sim
24654,Team A,Team B,Monday,10,1,8.2,2,Medium,Azul,Verde,278,Nublado,Sim
29798,Team A,Team C,Sunday,13,7,7,3.4,Low,Branco,Branco,188,Chuvoso,Nao
27966,Team C,Team D,Wednesday,11,4,7,3.3,Medium,Vermelho,Verde,478,Nublado,Nao
22105,Team B,Team A,Friday,12,11,3,1.8,Medium,Vermelho,Azul,858,Ensolarado,Nao
45046,Team C,Team D,Wednesday,12,20,6,5.7,Low,Verde,Amarelo,447,Ensolarado,Sim
20900,Team B,Team D,Monday,15,6,6.2,7.2,Medium,Amarelo,Vermelho,253,Nublado,Nao
26042,Team C,Team D,Thursday,12,17,3.9,6.2,Medium,Verde,Branco,735,Ensolarado,Sim
-7405,Team D,Team A,Wednesday,14,13,8.5,7.7,Low,Verde,Azul,768,Neve,Sim
21848,Team A,Team B,Sunday,20,6,1.8,5.3,Medium,Branco,Azul,244,Chuvoso,Nao
41581,Team A,Team A,Tuesday,5,5,5,1.1,Low,Verde,Verde,775,Ensolarado,Sim
25946,Team B,Team A,Friday,3,13,3.3,1.5,Low,Azul,Vermelho,760,Chuvoso,Sim
26189,Team B,Team C,Sunday,3,16,8.6,4.8,High,Branco,Vermelho,722,Nublado,Sim
39153,Team B,Team A,Saturday,13,10,7.1,1.7,Medium,Amarelo,Branco,847,Nublado,Sim
8850,Team C,Team D,Saturday,15,12,7.4,8.5,High,Vermelho,Amarelo,901,Chuvoso,Nao
7421,Team B,Team D,Friday,19,15,9.4,6.8,Medium,Branco,Vermelho,856,Neve,Nao
14276,Team A,Team D,Friday,20,7,3.9,7.6,Low,Branco,Branco,557,Ensolarado,Nao
12403,Team B,Team D,Monday,10,20,4.2,1.3,Low,Verde,Azul,506,Neve,Nao
30870,Team A,Team B,Sunday,18,8,7.5,1.6,Medium,Amarelo,Verde,211,Neve,Nao
24804,Team C,Team B,Thursday,20,18,9.9,2.1,High,Branco,Azul,311,Nublado,Sim
40672,Team A,Team C,Tuesday,7,2,6.7,9.6,High,Vermelho,Azul,947,Chuvoso,Nao
42903,Team D,Team C,Saturday,19,16,7.5,6.4,Medium,Verde,Vermelho,853,Ensolarado,Nao
25839,Team A,Team A,Monday,14,11,7,6.4,High,Branco,Vermelho,247,Chuvoso,Nao
29596,Team D,Team A,Tuesday,9,2,4.3,2.7,High,Amarelo,Vermelho,994,Chuvoso,Nao
17920,Team C,Team C,Monday,3,5,3.7,2.1,High,Azul,Amarelo,413,Nublado,Nao
1322,Team A,Team B,Sunday,1,4,3.1,2.9,Low,Branco,Vermelho,50,Ensolarado,Nao
21957,Team C,Team D,Thursday,5,8,9.4,6.5,Medium,Vermelho,Amarelo,255,Nublado,Sim
40606,Team C,Team C,Sunday,6,14,8.1,7.9,Low,Vermelho,Azul,580,Ensolarado,Sim
37010,Team D,Team B,Saturday,8,12,4.1,1.9,Medium,Branco,Vermelho,344,Ensolarado,Nao
20478,Team C,Team B,Tuesday,11,6,4.1,6.1,Medium,Vermelho,Azul,455,Nublado,Nao
38828,Team A,Team C,Monday,16,15,7.5,7,High,Azul,Verde,851,Neve,Nao
32615,Team D,Team B,Friday,19,4,6.5,2.5,Low,Verde,Branco,541,Chuvoso,Nao
14819,Team C,Team D,Friday,16,3,4.9,2.9,Medium,Vermelho,Azul,405,Neve,Sim
21840,Team B,Team B,Tuesday,3,5,1.1,4.1,High,Vermelho,Azul,368,Ensolarado,Sim
28320,Team D,Team A,Wednesday,11,16,7.3,3.4,Medium,Branco,Azul,136,Ensolarado,Nao
24743,Team A,Team A,Sunday,11,6,6,5,Low,Branco,Branco,557,Ensolarado,Sim
37052,Team A,Team B,Wednesday,3,18,6.3,7.7,Low,Verde,Amarelo,434,Nublado,Sim
18482,Team B,Team A,Saturday,17,18,1.7,2.2,High,Azul,Vermelho,894,Nublado,Nao
40771,Team D,Team C,Saturday,3,19,8.7,3.3,Medium,Amarelo,Vermelho,833,Nublado,Sim
2852,Team B,Team A,Sunday,3,10,2.5,4.2,Medium,Azul,Amarelo,226,Chuvoso,Nao
-873,Team D,Team B,Thursday,12,19,9.3,8.2,High,Branco,Amarelo,411,Neve,Nao
4457,Team D,Team A,Saturday,4,13,2,3.2,Medium,Azul,Amarelo,65,Chuvoso,Nao
38216,Team B,Team C,Friday,12,9,4.9,4,Medium,Azul,Amarelo,390,Nublado,Sim
27245,Team B,Team B,Saturday,1,17,7.8,1.8,Low,Vermelho,Azul,649,Chuvoso,Sim
8240,Team D,Team A,Tuesday,9,6,4.1,4.7,High,Amarelo,Vermelho,258,Nublado,Nao
20150,Team C,Team B,Friday,8,4,6.7,5.5,High,Verde,Branco,439,Chuvoso,Nao
3725,Team D,Team A,Saturday,17,17,8,1.5,Medium,Amarelo,Amarelo,561,Neve,Sim
31699,Team A,Team B,Saturday,5,8,6.4,5.1,Medium,Verde,Amarelo,746,Neve,Sim
48048,Team A,Team A,Friday,2,6,3.5,4.5,Low,Azul,Verde,156,Chuvoso,Nao
6636,Team B,Team D,Sunday,10,3,9.8,8.7,Low,Branco,Azul,529,Ensolarado,Sim
